Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
11-Sep	ENSG00000138758.11	40.52	12.52	1.619	1.30E-71
TMEM248	ENSG00000106609.16	96.298	30.71	1.617	1.24E-61
CALR	ENSG00000179218.13	513.866	166.906	1.617	1.41E-56
WDR3	ENSG00000065183.15	12.255	3.32	1.617	9.69E-56
ITM2B	ENSG00000136156.12	942.5	306.787	1.616	1.46E-46
CTC-444N24.7	ENSG00000279541.1	3.135	0.35	1.615	4.80E-60
SPN	ENSG00000197471.11	4.91	0.93	1.615	1.90E-44
RPN1	ENSG00000163902.11	179.525	57.98	1.614	5.90E-75
ATP13A3	ENSG00000133657.14	46.208	14.42	1.614	3.33E-65
SLPI	ENSG00000124107.5	166.369	53.66	1.614	1.25E-06
CDHR2	ENSG00000074276.10	6.13	1.33	1.614	1.28E-06
NRAS	ENSG00000213281.4	19.53	5.71	1.613	1.82E-80
LY86	ENSG00000112799.8	5.33	1.07	1.613	4.27E-43
MBOAT7	ENSG00000125505.16	85.315	27.23	1.612	2.23E-61
TM4SF1	ENSG00000169908.10	153.106	49.428	1.612	9.80E-20
KIF14	ENSG00000118193.11	2.3	0.08	1.611	5.97E-82
HOXC11	ENSG00000123388.4	2.055	0	1.611	3.21E-50
PPIA	ENSG00000196262.13	1816.442	594.568	1.61	4.77E-64
PPT1	ENSG00000131238.16	63.1	20	1.61	2.04E-49
GK	ENSG00000198814.12	7.915	1.92	1.61	4.58E-34
IGHV1-24	ENSG00000211950.2	8.643	2.16	1.61	1.49E-07
DKC1	ENSG00000130826.15	45.064	14.1	1.609	1.77E-83
ZNFX1	ENSG00000124201.14	22.099	6.58	1.608	2.27E-68
TREM1	ENSG00000124731.12	3.42	0.45	1.608	1.33E-26
AC021218.2	ENSG00000204876.4	3.115	0.35	1.608	2.95E-21
TULP4	ENSG00000130338.12	10.025	2.62	1.607	1.97E-64
OLA1	ENSG00000138430.15	88.315	28.349	1.606	1.77E-72
FUT4	ENSG00000196371.3	9.9	2.58	1.606	1.51E-50
DLEU1	ENSG00000176124.11	8.215	2.03	1.605	2.11E-71
DPY19L1	ENSG00000173852.13	13.875	3.89	1.605	1.83E-63
OST4	ENSG00000228474.5	455.086	149.075	1.604	1.21E-45
GAPDH	ENSG00000111640.14	2756.171	906.208	1.604	2.16E-44
CXCR4	ENSG00000121966.6	42.41	13.29	1.603	1.10E-32
SIRPA	ENSG00000198053.11	20.795	6.18	1.602	1.69E-29
IGKV1-12	ENSG00000243290.1	4.645	0.86	1.602	1.18E-06
NUP155	ENSG00000113569.15	11.1	2.99	1.601	1.68E-72
RTN4R	ENSG00000040608.13	5.4	1.11	1.601	8.61E-57
GGCT	ENSG00000006625.17	54.225	17.22	1.6	1.47E-66
PODNL1	ENSG00000132000.11	5.185	1.04	1.6	1.07E-42
FZD2	ENSG00000180340.6	4.09	0.68	1.599	1.50E-51
OSGIN2	ENSG00000164823.9	9.36	2.42	1.599	3.56E-47
TRIM59	ENSG00000213186.7	4.66	0.87	1.598	5.79E-86
CDH1	ENSG00000039068.18	113.802	36.931	1.598	2.70E-29
PODXL	ENSG00000128567.16	26.255	8.01	1.597	1.64E-49
TRIM69	ENSG00000185880.12	16.665	4.84	1.597	1.64E-38
PTMAP5	ENSG00000214182.5	7.22	1.72	1.596	9.67E-53
RP11-887P2.3	ENSG00000186076.5	5.59	1.18	1.596	1.29E-14
GNPNAT1	ENSG00000100522.8	22.65	6.83	1.595	1.31E-64
DAG1	ENSG00000173402.11	65.764	21.099	1.595	7.15E-44
SLX1B	ENSG00000181625.17	25.161	7.66	1.595	4.06E-17
PSMF1	ENSG00000125818.17	143.767	46.951	1.594	1.13E-60
TNFSF9	ENSG00000125657.4	2.53	0.17	1.593	1.46E-32
AL109927.1	ENSG00000278868.1	2.8	0.26	1.593	1.30E-05
NOLC1	ENSG00000166197.16	53.166	16.97	1.592	1.02E-56
CT83	ENSG00000204019.4	2.014	0	1.592	5.25E-22
R3HDM1	ENSG00000048991.16	18.98	5.63	1.591	2.09E-68
RP11-80H5.5	ENSG00000249962.1	2.885	0.29	1.591	1.09E-34
IGLV3-21	ENSG00000211662.2	24.944	7.61	1.591	5.68E-07
SPATS2L	ENSG00000196141.12	94.516	30.751	1.589	6.59E-55
AJUBA	ENSG00000129474.15	9.53	2.5	1.589	3.77E-42
EFNA4	ENSG00000243364.7	13.155	3.71	1.588	5.76E-68
ARHGAP5	ENSG00000100852.12	28.335	8.76	1.588	2.47E-39
SFRP2	ENSG00000145423.4	37.4	11.77	1.588	6.42E-07
SSR3	ENSG00000114850.6	150.153	49.329	1.587	9.24E-77
SKA2	ENSG00000182628.12	36.469	11.47	1.587	8.28E-68
VMA21	ENSG00000160131.13	14.1	4.03	1.586	6.93E-99
SLC30A7	ENSG00000162695.11	12.75	3.58	1.586	2.33E-75
MTCH2	ENSG00000109919.9	69.656	22.529	1.586	6.47E-69
ARHGAP32	ENSG00000134909.18	13.225	3.74	1.586	2.14E-38
CCND2	ENSG00000118971.7	16.144	4.71	1.586	1.81E-12
WISP1	ENSG00000104415.13	3.23	0.41	1.585	1.94E-18
FAM120A	ENSG00000048828.16	89.883	29.321	1.584	3.33E-74
SPA17	ENSG00000064199.6	10.84	2.95	1.584	1.83E-68
SNRPB2	ENSG00000125870.10	61.452	19.849	1.583	3.17E-76
ADAM12	ENSG00000148848.14	2.325	0.11	1.583	4.16E-51
VPS9D1-AS1	ENSG00000261373.1	5.89	1.3	1.583	1.62E-46
E2F2	ENSG00000007968.6	2.685	0.23	1.583	1.79E-45
PDK3	ENSG00000067992.12	7.925	1.98	1.583	1.08E-31
TOR4A	ENSG00000198113.2	22.57	6.87	1.583	7.20E-25
C12orf75	ENSG00000235162.8	83.351	27.17	1.582	6.05E-43
WNT5A	ENSG00000114251.13	5.82	1.28	1.581	2.77E-37
DHCR7	ENSG00000172893.15	32.005	10.03	1.581	1.76E-36
NOXO1	ENSG00000196408.11	2.89	0.3	1.581	7.95E-31
CENPH	ENSG00000153044.9	6.835	1.62	1.58	2.16E-76
GTF2H3	ENSG00000111358.13	16.105	4.72	1.58	5.44E-58
CAPG	ENSG00000042493.15	143.066	47.189	1.58	7.19E-40
MNDA	ENSG00000163563.7	5.635	1.22	1.58	6.32E-30
SHB	ENSG00000107338.9	21.225	6.44	1.579	7.14E-56
RP11-27G14.4	ENSG00000282221.1	4.02	0.68	1.579	2.33E-50
PAQR4	ENSG00000162073.13	17.73	5.27	1.579	7.49E-50
CCL24	ENSG00000106178.6	3.03	0.35	1.578	4.52E-18
FAM83D	ENSG00000101447.13	20.17	6.09	1.578	3.81E-08
TRAM1	ENSG00000067167.7	112.306	36.969	1.577	2.77E-73
NAA50	ENSG00000121579.12	73.981	24.13	1.577	1.56E-50
HAVCR2	ENSG00000135077.8	5.205	1.08	1.577	4.47E-44
PHF14	ENSG00000106443.14	25.8	7.99	1.576	3.41E-77
PDLIM5	ENSG00000163110.14	46.37	14.89	1.576	2.41E-37
FOXN2	ENSG00000170802.15	8.71	2.26	1.575	4.38E-72
SRD5A1	ENSG00000145545.11	9.785	2.62	1.575	2.19E-43
RTKN2	ENSG00000182010.10	2.425	0.15	1.574	6.14E-61
RP11-212P7.3	ENSG00000273184.1	2.78	0.27	1.574	1.19E-47
POLR1B	ENSG00000125630.15	11.23	3.11	1.573	9.88E-87
C17orf53	ENSG00000125319.14	3.345	0.46	1.573	5.46E-72
ATRX	ENSG00000085224.20	27.561	8.6	1.573	3.00E-52
ORAI2	ENSG00000160991.15	10.035	2.71	1.573	3.58E-44
TMEM209	ENSG00000146842.16	11.01	3.04	1.572	3.90E-83
ZNF695	ENSG00000197472.14	2.21	0.08	1.572	1.20E-63
PYCR1	ENSG00000183010.16	65.956	21.529	1.571	8.94E-44
AGPAT2	ENSG00000169692.12	96.864	31.939	1.571	2.17E-37
CD9	ENSG00000010278.11	223.944	74.728	1.571	1.58E-16
FAM72D	ENSG00000215784.5	2.415	0.15	1.57	2.29E-68
GARS	ENSG00000106105.13	99.763	32.94	1.57	6.49E-67
SDHAF3	ENSG00000196636.7	20.914	6.38	1.57	4.68E-44
AC004057.1	ENSG00000196656.7	1378.133	463.973	1.569	1.21E-42
SERPINB9	ENSG00000170542.5	8.255	2.12	1.569	3.89E-38
ADGRG7	ENSG00000144820.7	2.025	0.02	1.568	1.38E-23
IGHM	ENSG00000211899.7	152.878	50.899	1.568	4.26E-07
FAM110A	ENSG00000125898.12	12.775	3.65	1.567	1.10E-54
HRH1	ENSG00000196639.6	3.77	0.61	1.567	1.20E-43
CD24	ENSG00000272398.5	588.989	198.074	1.567	3.86E-24
IGKV1-33	ENSG00000242076.2	75.313	24.76	1.567	2.66E-07
SNORA7A	ENSG00000207496.1	1.964	0	1.567	5.94E-05
MMS22L	ENSG00000146263.11	4.775	0.95	1.566	3.81E-77
ARL4C	ENSG00000188042.7	12.26	3.48	1.566	1.02E-39
KCTD12	ENSG00000178695.5	23.745	7.36	1.566	2.24E-19
STAG2	ENSG00000101972.18	29.009	9.14	1.565	1.12E-67
AC073046.25	ENSG00000235499.1	3.765	0.61	1.565	2.14E-46
TOMM40	ENSG00000130204.12	56.79	18.55	1.564	1.96E-63
PROM1	ENSG00000007062.11	23.074	7.14	1.564	9.16E-13
UCK2	ENSG00000143179.12	34.77	11.11	1.563	1.45E-80
CMIP	ENSG00000153815.16	53.02	17.28	1.563	1.03E-58
FTLP3	ENSG00000226608.3	17.915	5.4	1.563	6.95E-53
PSMB8	ENSG00000204264.8	115.167	38.321	1.563	1.75E-43
PVT1_1	ENSG00000276443.1	4.29	0.79	1.563	5.84E-25
CYP2B6	ENSG00000197408.8	1.955	0	1.563	2.08E-24
NRM	ENSG00000137404.14	21.97	6.78	1.562	6.18E-68
PPA1	ENSG00000180817.11	173.741	58.169	1.562	1.56E-64
MCM6	ENSG00000076003.4	17.59	5.3	1.561	4.85E-70
SPTY2D1	ENSG00000179119.14	11.98	3.4	1.561	5.42E-69
LGALS3	ENSG00000131981.15	412.356	139.111	1.561	8.15E-27
C2CD4A	ENSG00000198535.5	2.865	0.31	1.561	7.65E-26
FBXO5	ENSG00000112029.9	6.78	1.64	1.559	2.22E-79
CASP8	ENSG00000064012.21	24.04	7.5	1.559	9.06E-74
CCRN4L	ENSG00000151014.5	4.95	1.02	1.559	2.25E-56
RP11-480I12.5	ENSG00000214796.8	3.215	0.43	1.559	1.03E-46
CFI	ENSG00000205403.12	15.145	4.48	1.559	2.22E-25
MCUR1	ENSG00000050393.11	15.955	4.76	1.558	8.89E-67
BATF	ENSG00000156127.6	9.805	2.67	1.558	1.66E-40
FYTTD1	ENSG00000122068.12	23.465	7.31	1.558	2.29E-31
NAA15	ENSG00000164134.12	13.745	4.01	1.557	5.87E-74
AIF1	ENSG00000204472.12	35.094	11.27	1.557	1.03E-31
MTMR11	ENSG00000014914.19	25.7	8.08	1.556	1.13E-26
CCT5	ENSG00000150753.11	171.082	57.559	1.555	2.90E-66
SLC7A1	ENSG00000139514.12	21.541	6.67	1.555	1.52E-44
RAB25	ENSG00000132698.13	168.533	56.712	1.555	1.63E-35
SF3B3	ENSG00000189091.12	152.582	51.299	1.554	8.71E-71
ATF7IP	ENSG00000171681.12	17.41	5.27	1.554	1.97E-58
HACD2	ENSG00000206527.9	23.3	7.28	1.553	7.58E-62
DDX21	ENSG00000165732.12	36.68	11.84	1.553	5.90E-59
PARP14	ENSG00000173193.13	19.974	6.15	1.553	2.30E-52
ENTPD1	ENSG00000138185.16	14.785	4.38	1.553	2.34E-33
BCL11B	ENSG00000127152.17	2.695	0.26	1.552	3.29E-70
MYCBP	ENSG00000214114.8	31.186	9.98	1.552	7.86E-70
GSG2	ENSG00000177602.5	3.135	0.41	1.552	8.88E-67
SLC25A43	ENSG00000077713.18	12.99	3.77	1.552	8.17E-63
CTB-193M12.5	ENSG00000280206.1	7.915	2.04	1.552	1.47E-37
CD2	ENSG00000116824.4	10.11	2.79	1.552	8.35E-31
MUC4	ENSG00000145113.21	4.13	0.75	1.552	2.53E-07
C16orf59	ENSG00000162062.14	3.98	0.7	1.551	3.44E-60
GZMA	ENSG00000145649.7	7.47	1.89	1.551	1.20E-22
MREG	ENSG00000118242.15	4.77	0.97	1.55	1.26E-50
LGR5	ENSG00000139292.12	3.07	0.39	1.55	1.16E-30
SAMD12	ENSG00000177570.13	5.41	1.19	1.549	5.78E-60
PRKX	ENSG00000183943.5	8.95	2.4	1.549	5.39E-57
SNORA71C	ENSG00000201512.1	1.927	0	1.549	1.03E-14
MAP7	ENSG00000135525.18	18.27	5.59	1.548	1.87E-47
POLQ	ENSG00000051341.13	2.45	0.18	1.548	5.24E-46
RALA	ENSG00000006451.7	32.791	10.57	1.546	1.63E-66
RPP25	ENSG00000178718.6	13.98	4.13	1.546	8.17E-66
EIF6	ENSG00000242372.6	202.369	68.631	1.546	4.67E-65
GMPS	ENSG00000163655.15	37.62	12.23	1.545	3.60E-68
C19orf48	ENSG00000167747.13	40.125	13.09	1.545	1.00E-60
RP11-1223D19.3	ENSG00000282304.1	2.385	0.16	1.545	3.53E-18
ANGPTL2	ENSG00000136859.9	21.64	6.76	1.545	4.06E-07
CTXN1	ENSG00000178531.5	4.75	0.97	1.545	5.85E-05
MPEG1	ENSG00000197629.5	9.44	2.58	1.544	6.58E-25
RARRES1	ENSG00000118849.9	13.14	3.85	1.544	1.23E-11
SHFM1	ENSG00000127922.9	226.269	76.989	1.543	3.12E-57
IPO7	ENSG00000205339.9	40.03	13.08	1.543	1.46E-48
MICB	ENSG00000204516.9	4.415	0.86	1.542	6.95E-49
UBE2N	ENSG00000177889.9	84.764	28.479	1.541	1.64E-63
SLC52A2	ENSG00000185803.8	51.89	17.17	1.541	1.35E-59
SLC45A4	ENSG00000022567.9	17.815	5.47	1.54	1.82E-41
PLA2G2A	ENSG00000188257.10	69.175	23.131	1.54	5.50E-05
ZNF267	ENSG00000185947.14	7.92	2.07	1.539	5.46E-80
LINC00857	ENSG00000237523.1	4.405	0.86	1.539	1.05E-47
CMTM7	ENSG00000153551.13	26.6	8.5	1.539	3.54E-47
BTN3A2	ENSG00000186470.13	25.945	8.27	1.539	1.84E-44
FOXP1	ENSG00000114861.18	39.281	12.87	1.538	1.28E-37
TNRC18	ENSG00000182095.14	64.534	21.561	1.538	3.38E-33
ACTR2	ENSG00000138071.13	81.303	27.359	1.537	3.74E-77
MANSC1	ENSG00000111261.13	46.655	15.42	1.537	4.93E-34
SLC38A1	ENSG00000111371.15	25.585	8.16	1.537	1.81E-15
SLAIN2	ENSG00000109171.14	34.57	11.27	1.536	1.62E-26
CIITA	ENSG00000179583.17	9.385	2.58	1.536	2.21E-24
PTPRC	ENSG00000081237.18	15.445	4.67	1.536	4.53E-20
DIAPH3	ENSG00000139734.17	3.725	0.63	1.535	2.72E-66
ANO6	ENSG00000177119.15	19.955	6.23	1.535	7.16E-23
CYP4F3	ENSG00000186529.14	3.925	0.7	1.535	1.13E-15
POMP	ENSG00000132963.7	100.995	34.22	1.534	4.04E-71
SFT2D2	ENSG00000213064.9	14.425	4.33	1.533	5.49E-74
MSH2	ENSG00000095002.12	11.355	3.27	1.533	5.57E-71
NOL4L	ENSG00000197183.12	19.435	6.06	1.533	1.42E-52
ABI2	ENSG00000138443.15	19.975	6.25	1.533	1.18E-31
PAK2	ENSG00000180370.10	27.925	9	1.532	7.42E-74
ARHGEF35	ENSG00000213214.4	9.665	2.69	1.531	1.14E-27
HN1L	ENSG00000206053.12	47.244	15.71	1.53	3.04E-64
RBM12	ENSG00000244462.7	29.29	9.49	1.53	2.08E-51
P3H4	ENSG00000141696.12	14.045	4.21	1.53	2.76E-44
ANKH	ENSG00000154122.12	26.726	8.6	1.53	1.82E-34
CDS1	ENSG00000163624.5	10.15	2.86	1.53	3.36E-31
NUTF2	ENSG00000102898.11	118.75	40.5	1.529	1.23E-68
RGS19	ENSG00000171700.13	15.16	4.6	1.529	4.28E-54
METTL8	ENSG00000123600.18	8.41	2.26	1.529	7.44E-44
SYT13	ENSG00000019505.7	7.08	1.8	1.529	7.30E-23
TCOF1	ENSG00000070814.17	29.595	9.61	1.528	6.11E-77
GATSL2	ENSG00000274070.1	3.93	0.71	1.528	2.58E-39
WIPF1	ENSG00000115935.16	24.229	7.75	1.528	5.56E-21
RHBDF2	ENSG00000129667.12	27.555	8.91	1.527	3.40E-58
PPP1R13L	ENSG00000104881.14	27.409	8.86	1.527	2.49E-33
SDR16C5	ENSG00000170786.12	7.24	1.86	1.527	4.11E-11
CHAMP1	ENSG00000198824.5	20.26	6.38	1.526	5.56E-71
RP4-545L17.11	ENSG00000276026.1	1.88	0	1.526	7.17E-33
F8A3	ENSG00000277150.1	8.59	2.33	1.526	1.56E-07
LY96	ENSG00000154589.6	14.075	4.24	1.525	4.81E-35
FKBP10	ENSG00000141756.18	32.335	10.58	1.525	6.64E-19
LSM12	ENSG00000161654.9	39.99	13.25	1.524	8.73E-84
FAM72B	ENSG00000188610.12	2.825	0.33	1.524	9.76E-71
SIGMAR1	ENSG00000147955.16	90.804	30.92	1.524	6.20E-57
IGHV4-31	ENSG00000231475.3	6.59	1.64	1.524	8.00E-07
RAN	ENSG00000132341.11	441.845	153.138	1.523	1.18E-59
SPAG1	ENSG00000104450.12	8.195	2.2	1.523	3.26E-47
ERAP2	ENSG00000164308.16	10.265	2.92	1.523	2.31E-14
ADAM8	ENSG00000151651.15	10.82	3.12	1.52	1.12E-38
RP11-304L19.3	ENSG00000261123.1	6.085	1.47	1.52	1.77E-34
TMEM176B	ENSG00000106565.17	160.251	55.241	1.52	2.99E-32
FIGNL1	ENSG00000132436.11	6.795	1.72	1.519	8.83E-71
MCM3	ENSG00000112118.17	44.755	14.96	1.519	7.62E-60
JPH1	ENSG00000104369.4	3.415	0.54	1.519	1.21E-25
TNRC6B	ENSG00000100354.20	8.565	2.34	1.518	2.09E-70
AFAP1	ENSG00000196526.10	10.94	3.17	1.518	6.70E-31
PCDH1	ENSG00000156453.13	49.15	16.511	1.518	1.11E-27
pk	ENSG00000091436.16	16.644	5.16	1.518	6.40E-04
RSRC1	ENSG00000174891.12	21.565	6.89	1.516	2.04E-80
ATP6V0C	ENSG00000185883.10	365.175	126.992	1.516	1.77E-65
CD276	ENSG00000103855.17	54.94	18.56	1.516	2.16E-55
RBL1	ENSG00000080839.11	4.485	0.92	1.514	1.65E-80
FKBP1A	ENSG00000088832.14	260.519	90.571	1.514	6.48E-69
LIN54	ENSG00000189308.10	6.34	1.57	1.514	1.88E-67
HSP90AA1	ENSG00000080824.18	389.626	135.767	1.514	8.30E-46
XDH	ENSG00000158125.9	2.14	0.1	1.513	8.73E-14
NUDT21	ENSG00000167005.13	50.035	16.89	1.512	5.71E-60
ZFPM1	ENSG00000179588.8	14.485	4.43	1.512	1.10E-41
ABHD2	ENSG00000140526.16	54.915	18.61	1.512	1.38E-24
TWSG1	ENSG00000128791.11	18.245	5.75	1.512	4.83E-24
IGLV3-25	ENSG00000211659.2	45.559	15.33	1.512	7.32E-07
E2F7	ENSG00000165891.15	2.135	0.1	1.511	1.40E-62
RP11-97O12.5	ENSG00000279945.1	7.18	1.87	1.511	2.54E-53
ABRACL	ENSG00000146386.7	45.63	15.36	1.511	1.82E-47
FEZF1-AS1	ENSG00000230316.6	1.85	0	1.511	9.12E-39
ZNF468	ENSG00000204604.9	9.34	2.63	1.51	2.11E-48
CCDC6	ENSG00000108091.10	25.141	8.18	1.51	4.61E-42
C1orf233	ENSG00000228594.3	6.29	1.56	1.51	1.06E-34
IGHV5-51	ENSG00000211966.2	33.612	11.15	1.51	8.16E-08
HSPE1	ENSG00000115541.10	223.905	78.021	1.509	1.49E-49
TCF3	ENSG00000071564.14	56.615	19.251	1.508	9.72E-63
BMP8A	ENSG00000183682.7	2.64	0.28	1.508	1.94E-60
ARL5A	ENSG00000162980.16	24.86	8.09	1.508	7.39E-59
TMEM139	ENSG00000178826.10	12.165	3.63	1.508	9.11E-24
U1	ENSG00000274210.1	1.845	0	1.508	2.95E-11
TGFBI	ENSG00000120708.16	77.662	26.679	1.507	4.89E-17
COL15A1	ENSG00000204291.10	29.025	9.56	1.507	7.16E-16
SNRPG	ENSG00000143977.13	124.296	43.119	1.506	1.45E-61
AMOT	ENSG00000126016.13	5.22	1.19	1.506	3.17E-30
PPIL1	ENSG00000137168.7	26.62	8.73	1.505	2.28E-79
RP2	ENSG00000102218.5	9.16	2.58	1.505	1.72E-77
RAB19	ENSG00000146955.10	2.775	0.33	1.505	4.57E-55
PUM1	ENSG00000134644.15	41.094	13.84	1.504	4.67E-61
TNFSF10	ENSG00000121858.10	44.003	14.87	1.504	1.44E-32
CD37	ENSG00000104894.11	24.245	7.9	1.504	1.91E-25
UTP23	ENSG00000147679.11	12.6	3.8	1.503	1.06E-79
POLR1A	ENSG00000068654.15	11.019	3.24	1.503	2.71E-63
EIF1AXP1	ENSG00000236698.1	6.085	1.5	1.503	1.80E-44
ARID3A	ENSG00000116017.10	7.135	1.87	1.503	9.57E-34
CCL22	ENSG00000102962.4	2.115	0.1	1.502	2.40E-46
SNHG22	ENSG00000267322.2	9.335	2.65	1.502	5.53E-30
TROVE2	ENSG00000116747.12	12.22	3.67	1.501	7.98E-63
CNNM4	ENSG00000158158.11	12.61	3.81	1.501	2.18E-39
SRM	ENSG00000116649.9	114.821	39.959	1.5	7.36E-71
HOXA3	ENSG00000105997.22	7.85	2.13	1.5	1.21E-10
BRCC3	ENSG00000185515.14	17.255	5.46	1.499	7.89E-70
CYB5B	ENSG00000103018.16	70.44	24.281	1.499	5.08E-58
TRIQK	ENSG00000205133.11	15.17	4.72	1.499	4.74E-48
IRAK2	ENSG00000134070.4	5.585	1.33	1.499	5.53E-43
RPN2	ENSG00000118705.16	209.215	73.439	1.498	9.01E-60
RP5-1033H22.2	ENSG00000224093.5	6.455	1.64	1.498	5.45E-27
STC1	ENSG00000159167.11	9.365	2.67	1.498	2.41E-22
NF1	ENSG00000196712.16	17.375	5.51	1.497	2.48E-57
TICRR	ENSG00000140534.13	3.205	0.49	1.497	4.97E-52
RTP4	ENSG00000136514.2	8.115	2.23	1.497	6.49E-40
RAP2A	ENSG00000125249.6	9.575	2.75	1.496	2.17E-47
NIFK	ENSG00000155438.11	50.301	17.2	1.495	7.78E-84
RP3-461F17.3	ENSG00000268439.5	10.135	2.95	1.495	2.56E-59
TPP1	ENSG00000166340.14	110.002	38.379	1.495	4.81E-58
ATE1	ENSG00000107669.17	12.075	3.64	1.495	1.13E-48
SELPLG	ENSG00000110876.9	11.31	3.37	1.494	1.43E-35
CFB	ENSG00000243649.8	93.506	32.561	1.494	3.94E-18
DLEU2	ENSG00000231607.8	4.405	0.92	1.493	2.74E-62
KPNA3	ENSG00000102753.9	18.28	5.85	1.493	3.18E-50
PCED1B-AS1	ENSG00000247774.6	11.64	3.49	1.493	7.97E-27
IGKV3-20	ENSG00000239951.1	222.891	78.569	1.493	1.13E-09
CENPI	ENSG00000102384.13	2.74	0.33	1.492	1.81E-71
BAZ1A	ENSG00000198604.10	26.179	8.66	1.492	1.95E-63
MAP4K4	ENSG00000071054.15	32.64	10.96	1.492	1.27E-52
PLOD1	ENSG00000083444.16	59.071	20.359	1.492	1.83E-40
ESF1	ENSG00000089048.14	12.155	3.68	1.491	3.83E-62
CREB1	ENSG00000118260.14	17.745	5.67	1.491	3.93E-52
GPR160	ENSG00000173890.16	39.58	13.44	1.491	1.91E-37
MMP14	ENSG00000157227.12	100.398	35.08	1.491	3.29E-29
IGHV3-23	ENSG00000211949.3	69.18	23.97	1.491	4.52E-10
MAPK1	ENSG00000100030.14	46.335	15.85	1.49	3.57E-33
APP	ENSG00000142192.20	280.371	99.139	1.49	3.99E-31
GLO1	ENSG00000124767.6	77.28	26.891	1.489	1.34E-51
DNAJC15	ENSG00000120675.5	19.04	6.14	1.489	1.46E-46
RSAD2	ENSG00000134321.11	5.065	1.16	1.489	6.28E-18
CDKN2B	ENSG00000147883.10	7.055	1.87	1.489	5.15E-12
TXNDC12	ENSG00000117862.11	48.76	16.74	1.488	2.05E-102
AGPS	ENSG00000018510.12	10.25	3.01	1.488	2.87E-80
TLCD1	ENSG00000160606.10	15.155	4.76	1.488	2.41E-53
OLR1	ENSG00000173391.8	2.9	0.39	1.488	2.95E-43
RP1-122P22.4	ENSG00000268628.2	3.15	0.48	1.488	3.66E-16
GMCL1	ENSG00000087338.4	12.01	3.64	1.487	3.17E-77
LRRCC1	ENSG00000133739.15	8.98	2.56	1.487	1.38E-58
RAP2B	ENSG00000181467.3	11.635	3.51	1.486	1.16E-47
PDZD11	ENSG00000120509.10	53.439	18.45	1.485	3.14E-77
ABCE1	ENSG00000164163.10	29.86	10.03	1.484	4.74E-66
SREK1IP1	ENSG00000153006.14	17.01	5.44	1.484	1.07E-59
CAPRIN1	ENSG00000135387.19	93.399	32.769	1.483	1.72E-70
TSN	ENSG00000211460.11	35.88	12.2	1.482	6.94E-68
ITGA6	ENSG00000091409.14	63.346	22.031	1.482	6.32E-36
CD7	ENSG00000173762.7	11.795	3.58	1.482	9.24E-26
HAUS2	ENSG00000137814.9	13.045	4.03	1.481	1.47E-66
USP38	ENSG00000170185.9	9.415	2.73	1.481	1.18E-56
TPMT	ENSG00000137364.4	16	5.09	1.481	1.31E-54
TMEM229B	ENSG00000198133.8	5.31	1.26	1.481	2.08E-30
UGT8	ENSG00000174607.10	11.2	3.37	1.481	1.80E-25
TMEM253	ENSG00000232070.8	3.02	0.44	1.481	2.67E-11
PTBP1	ENSG00000011304.16	182.265	64.681	1.48	6.91E-66
RPS2P46	ENSG00000189343.7	21.609	7.11	1.479	9.59E-61
OSBPL8	ENSG00000091039.16	14.08	4.41	1.479	1.70E-46
MTPN	ENSG00000105887.10	52.855	18.33	1.478	2.15E-42
FP236383.5	ENSG00000275783.1	1.785	0	1.478	3.52E-24
DAPP1	ENSG00000070190.12	3.79	0.72	1.478	9.89E-18
BARX2	ENSG00000043039.6	4.96	1.14	1.478	8.89E-11
BRIX1	ENSG00000113460.12	26.69	8.95	1.477	6.78E-65
POC1B	ENSG00000139323.13	17.095	5.5	1.477	3.46E-64
DYNLRB1	ENSG00000125971.16	281.491	100.481	1.477	1.04E-48
SSX2IP	ENSG00000117155.16	7.54	2.07	1.476	1.16E-58
PLP2	ENSG00000102007.10	222.597	79.362	1.476	1.62E-31
MBNL1	ENSG00000152601.17	50.804	17.62	1.476	9.42E-23
RARRES3	ENSG00000133321.10	81.125	28.521	1.476	2.93E-18
LEPROTL1	ENSG00000104660.17	39.004	13.39	1.475	4.20E-75
CHAF1B	ENSG00000159259.7	3.755	0.71	1.475	5.16E-68
RP11-1149O23.3	ENSG00000246582.2	3.865	0.75	1.475	4.13E-66
HOXA11	ENSG00000005073.5	1.78	0	1.475	3.96E-33
C6orf223	ENSG00000181577.15	1.835	0.02	1.475	4.64E-30
FOXD2-AS1	ENSG00000237424.1	2.64	0.31	1.474	2.71E-66
CERS6	ENSG00000172292.14	19.8	6.49	1.474	1.70E-29
CD3E	ENSG00000198851.9	15.45	4.92	1.474	7.86E-27
FOXQ1	ENSG00000164379.5	31.27	10.62	1.474	1.38E-21
ATP1B3	ENSG00000069849.10	95.935	33.92	1.473	7.29E-30
B2M	ENSG00000166710.17	5878.978	2117.284	1.473	3.04E-29
CST7	ENSG00000077984.5	10.435	3.12	1.473	1.85E-23
HUS1	ENSG00000136273.11	13.925	4.38	1.472	2.76E-75
PRIM1	ENSG00000198056.13	8.545	2.44	1.472	4.37E-65
PUS7	ENSG00000091127.13	9.68	2.85	1.472	3.50E-58
CFL1	ENSG00000172757.12	1188.107	427.534	1.472	5.08E-52
